,a,e
683,0.067,0.088
684,0.067,0.088
685,0.067,0.088
686,0.066,0.088
687,0.066,0.088
688,0.066,0.089
689,0.066,0.089
690,0.066,0.09
691,0.066,0.09
692,0.066,0.09
693,0.067,0.09
694,0.067,0.09
695,0.067,0.09
696,0.067,0.09
697,0.066,0.09
698,0.066,0.091
699,0.065,0.091
700,0.065,0.091
701,0.065,0.091
702,0.065,0.09
703,0.066,0.09
704,0.066,0.09
705,0.066,0.09
706,0.066,0.09
707,0.066,0.09
708,0.066,0.09
709,0.066,0.091
710,0.066,0.091
711,0.066,0.091
712,0.066,0.09
713,0.066,0.09
714,0.066,0.091
715,0.065,0.091
716,0.065,0.091
717,0.065,0.092
718,0.065,0.092
719,0.065,0.092
720,0.065,0.092
721,0.065,0.093
722,0.064,0.093
723,0.064,0.093
724,0.064,0.092
725,0.064,0.092
726,0.064,0.092
727,0.064,0.092
728,0.064,0.092
729,0.064,0.092
730,0.064,0.092
731,0.064,0.092
732,0.064,0.092
733,0.064,0.092
734,0.064,0.093
735,0.064,0.093
736,0.064,0.093
737,0.064,0.093
738,0.064,0.093
739,0.064,0.093
740,0.064,0.092
741,0.064,0.092
742,0.064,0.092
743,0.064,0.091
744,0.064,0.091
745,0.064,0.091
746,0.064,0.091
747,0.064,0.091
748,0.064,0.091
749,0.063,0.091
750,0.063,0.091
751,0.063,0.091
752,0.063,0.091
753,0.064,0.091
754,0.064,0.091
755,0.064,0.091
756,0.064,0.091
757,0.063,0.091
758,0.063,0.091
759,0.063,0.091
760,0.063,0.091
761,0.063,0.091
762,0.063,0.092
763,0.063,0.092
764,0.063,0.092
765,0.064,0.092
766,0.064,0.092
767,0.064,0.092
768,0.064,0.092
769,0.064,0.091
770,0.064,0.091
771,0.064,0.091
772,0.064,0.091
773,0.064,0.091
774,0.064,0.091
775,0.064,0.091
776,0.064,0.091
777,0.063,0.091
778,0.063,0.091
779,0.063,0.091
780,0.063,0.091
781,0.063,0.091
782,0.063,0.09
783,0.063,0.09
784,0.063,0.09
785,0.063,0.09
786,0.062,0.09
787,0.062,0.09
788,0.062,0.091
789,0.062,0.091
790,0.062,0.091
791,0.062,0.09
792,0.062,0.09
793,0.063,0.09
794,0.063,0.09
795,0.063,0.09
796,0.063,0.091
797,0.063,0.091
798,0.063,0.091
799,0.063,0.091
800,0.062,0.091
801,0.062,0.091
802,0.062,0.091
803,0.062,0.091
804,0.062,0.09
805,0.062,0.089
806,0.062,0.089
807,0.062,0.089
808,0.062,0.089
809,0.062,0.089
810,0.062,0.089
811,0.062,0.089
812,0.062,0.089
813,0.061,0.089
814,0.061,0.089
815,0.061,0.09
816,0.06,0.09
817,0.06,0.09
818,0.061,0.09
819,0.061,0.09
820,0.061,0.09
821,0.061,0.089
822,0.061,0.089
823,0.061,0.089
824,0.061,0.089
825,0.061,0.089
826,0.061,0.089
827,0.061,0.089
828,0.061,0.089
829,0.061,0.089
830,0.061,0.089
831,0.061,0.09
832,0.061,0.09
833,0.061,0.091
834,0.061,0.091
835,0.061,0.091
836,0.061,0.091
837,0.061,0.091
838,0.061,0.091
839,0.06,0.091
840,0.06,0.091
841,0.06,0.09
842,0.06,0.091
843,0.06,0.091
844,0.06,0.091
845,0.059,0.091
846,0.059,0.091
847,0.059,0.09
848,0.059,0.09
849,0.06,0.09
850,0.06,0.09
851,0.06,0.09
852,0.06,0.09
853,0.06,0.09
854,0.06,0.089
855,0.06,0.089
856,0.061,0.089
857,0.061,0.089
858,0.061,0.089
859,0.061,0.089
860,0.061,0.089
861,0.06,0.089
862,0.06,0.089
863,0.061,0.089
864,0.06,0.089
865,0.06,0.089
866,0.06,0.09
867,0.06,0.089
868,0.06,0.089
869,0.06,0.089
870,0.06,0.089
871,0.06,0.089
872,0.06,0.089
873,0.06,0.089
874,0.06,0.089
875,0.06,0.089
876,0.06,0.089
877,0.06,0.089
878,0.06,0.089
879,0.06,0.089
880,0.06,0.088
881,0.06,0.088
882,0.06,0.088
883,0.06,0.088
884,0.06,0.088
885,0.06,0.087
886,0.06,0.087
887,0.06,0.087
888,0.06,0.087
889,0.06,0.088
890,0.06,0.088
891,0.06,0.088
892,0.06,0.087
893,0.06,0.087
894,0.06,0.087
895,0.06,0.087
896,0.06,0.087
897,0.06,0.087
898,0.06,0.087
899,0.061,0.086
900,0.061,0.086
901,0.061,0.086
902,0.061,0.087
903,0.061,0.087
904,0.061,0.087
905,0.061,0.087
906,0.061,0.087
907,0.061,0.088
908,0.061,0.088
909,0.061,0.088
910,0.061,0.088
911,0.061,0.088
912,0.061,0.088
913,0.061,0.088
914,0.06,0.088
915,0.06,0.088
916,0.06,0.088
917,0.06,0.088
918,0.06,0.088
919,0.06,0.088
920,0.06,0.088
921,0.06,0.088
922,0.06,0.088
923,0.06,0.089
924,0.059,0.089
925,0.059,0.089
926,0.059,0.088
927,0.059,0.088
928,0.059,0.088
929,0.059,0.088
930,0.059,0.088
931,0.059,0.088
932,0.059,0.088
933,0.058,0.088
934,0.058,0.088
935,0.058,0.088
936,0.058,0.088
937,0.058,0.088
938,0.058,0.087
939,0.058,0.087
940,0.057,0.088
941,0.057,0.088
942,0.057,0.088
943,0.057,0.088
944,0.056,0.088
945,0.056,0.088
946,0.056,0.088
947,0.056,0.088
948,0.056,0.087
949,0.056,0.086
950,0.056,0.087
951,0.056,0.087
952,0.056,0.087
953,0.057,0.087
954,0.057,0.087
955,0.057,0.086
956,0.057,0.086
957,0.057,0.086
958,0.057,0.086
959,0.057,0.085
960,0.057,0.085
961,0.057,0.084
962,0.057,0.084
963,0.056,0.085
964,0.056,0.085
965,0.057,0.085
966,0.057,0.085
967,0.057,0.085
968,0.056,0.086
969,0.056,0.086
970,0.056,0.086
971,0.056,0.085
972,0.056,0.085
973,0.056,0.085
974,0.056,0.085
975,0.056,0.085
976,0.056,0.085
977,0.056,0.085
978,0.056,0.085
979,0.056,0.085
980,0.056,0.085
981,0.056,0.085
982,0.056,0.085
983,0.056,0.085
984,0.056,0.085
985,0.056,0.085
986,0.056,0.085
987,0.056,0.085
988,0.056,0.085
989,0.056,0.085
990,0.056,0.085
991,0.057,0.084
992,0.057,0.084
993,0.057,0.085
994,0.057,0.085
995,0.057,0.085
996,0.057,0.084
997,0.057,0.084
998,0.057,0.084
999,0.057,0.084
1000,0.057,0.085
1001,0.057,0.085
1002,0.057,0.085
1003,0.057,0.084
1004,0.057,0.084
1005,0.057,0.084
1006,0.057,0.083
1007,0.057,0.083
1008,0.057,0.084
1009,0.057,0.083
1010,0.057,0.083
1011,0.058,0.083
1012,0.058,0.083
1013,0.058,0.083
1014,0.058,0.083
1015,0.058,0.083
1016,0.058,0.083
1017,0.058,0.083
1018,0.058,0.083
1019,0.057,0.083
1020,0.057,0.083
1021,0.057,0.083
1022,0.057,0.083
1023,0.057,0.083
1024,0.057,0.083
1025,0.057,0.083
1026,0.057,0.083
1027,0.057,0.082
1028,0.057,0.082
1029,0.057,0.082
1030,0.057,0.081
1031,0.057,0.081
1032,0.057,0.081
1033,0.057,0.081
1034,0.057,0.081
1035,0.057,0.081
1036,0.057,0.081
1037,0.058,0.081
1038,0.058,0.081
1039,0.058,0.081
1040,0.058,0.08
1041,0.059,0.08
1042,0.059,0.08
1043,0.059,0.08
1044,0.059,0.081
1045,0.059,0.081
1046,0.059,0.081
1047,0.06,0.081
1048,0.06,0.081
1049,0.06,0.081
1050,0.06,0.08
1051,0.06,0.08
1052,0.06,0.08
1053,0.06,0.08
1054,0.06,0.08
1055,0.06,0.08
1056,0.06,0.08
1057,0.06,0.08
1058,0.059,0.08
1059,0.059,0.081
1060,0.059,0.082
1061,0.059,0.082
1062,0.058,0.082
1063,0.058,0.082
1064,0.058,0.082
1065,0.058,0.082
1066,0.058,0.082
1067,0.058,0.083
1068,0.058,0.084
1069,0.058,0.084
1070,0.058,0.084
1071,0.058,0.084
1072,0.058,0.085
1073,0.058,0.085
1074,0.058,0.085
1075,0.058,0.086
1076,0.058,0.087
1077,0.058,0.087
1078,0.058,0.087
1079,0.058,0.087
1080,0.058,0.087
1081,0.058,0.086
1082,0.059,0.086
1083,0.059,0.086
1084,0.059,0.086
1085,0.058,0.087
1086,0.058,0.087
1087,0.059,0.087
1088,0.059,0.086
1089,0.059,0.086
1090,0.059,0.086
1091,0.059,0.086
1092,0.059,0.085
1093,0.058,0.085
1094,0.058,0.085
1095,0.058,0.085
1096,0.059,0.085
1097,0.059,0.084
1098,0.059,0.084
1099,0.059,0.084
1100,0.059,0.084
1101,0.059,0.084
1102,0.059,0.084
1103,0.058,0.084
1104,0.058,0.084
1105,0.058,0.084
1106,0.058,0.084
1107,0.058,0.084
1108,0.058,0.085
1109,0.058,0.085
1110,0.058,0.085
1111,0.058,0.085
1112,0.058,0.085
1113,0.058,0.085
1114,0.058,0.085
1115,0.058,0.085
1116,0.058,0.085
1117,0.058,0.086
1118,0.058,0.086
1119,0.058,0.086
1120,0.058,0.086
1121,0.058,0.086
1122,0.058,0.086
1123,0.058,0.086
1124,0.058,0.086
1125,0.058,0.086
1126,0.058,0.087
1127,0.058,0.087
1128,0.058,0.087
1129,0.058,0.087
1130,0.058,0.087
1131,0.058,0.087
1132,0.058,0.087
1133,0.058,0.087
1134,0.059,0.087
1135,0.059,0.087
1136,0.059,0.087
1137,0.059,0.087
1138,0.059,0.087
1139,0.059,0.087
1140,0.059,0.088
1141,0.059,0.088
1142,0.059,0.088
1143,0.059,0.088
1144,0.059,0.088
1145,0.059,0.088
1146,0.059,0.088
1147,0.059,0.089
1148,0.058,0.089
1149,0.058,0.09
1150,0.058,0.089
1151,0.058,0.09
1152,0.057,0.09
1153,0.057,0.09
1154,0.057,0.09
1155,0.057,0.09
1156,0.057,0.09
1157,0.057,0.09
1158,0.057,0.09
1159,0.057,0.089
1160,0.057,0.089
1161,0.057,0.089
1162,0.057,0.089
1163,0.056,0.089
1164,0.056,0.089
1165,0.056,0.089
1166,0.056,0.089
1167,0.056,0.089
1168,0.056,0.089
1169,0.056,0.088
1170,0.056,0.088
1171,0.056,0.088
1172,0.056,0.088
1173,0.056,0.088
1174,0.056,0.089
1175,0.056,0.089
1176,0.056,0.088
1177,0.056,0.088
1178,0.056,0.088
1179,0.056,0.088
1180,0.056,0.087
1181,0.056,0.087
1182,0.056,0.088
1183,0.056,0.088
1184,0.056,0.088
1185,0.055,0.088
1186,0.055,0.089
1187,0.055,0.089
1188,0.055,0.089
1189,0.056,0.089
1190,0.056,0.089
1191,0.056,0.089
1192,0.056,0.089
1193,0.056,0.089
1194,0.056,0.089
1195,0.056,0.089
1196,0.056,0.089
1197,0.056,0.089
1198,0.056,0.089
1199,0.057,0.089
1200,0.057,0.089
1201,0.057,0.089
1202,0.057,0.09
1203,0.057,0.09
1204,0.057,0.09
1205,0.057,0.09
1206,0.056,0.09
1207,0.056,0.09
1208,0.056,0.09
1209,0.056,0.091
1210,0.056,0.092
1211,0.056,0.092
1212,0.056,0.092
1213,0.055,0.092
1214,0.055,0.092
1215,0.056,0.092
1216,0.056,0.092
1217,0.056,0.092
1218,0.056,0.092
1219,0.057,0.092
1220,0.057,0.092
1221,0.056,0.092
1222,0.056,0.093
1223,0.056,0.093
1224,0.056,0.093
1225,0.056,0.093
1226,0.056,0.093
1227,0.056,0.093
1228,0.056,0.093
1229,0.056,0.093
1230,0.056,0.094
1231,0.056,0.094
1232,0.056,0.094
1233,0.056,0.094
1234,0.056,0.094
1235,0.056,0.094
1236,0.056,0.094
1237,0.056,0.094
1238,0.056,0.094
1239,0.056,0.094
1240,0.056,0.094
1241,0.056,0.094
1242,0.056,0.094
1243,0.056,0.094
1244,0.056,0.094
1245,0.055,0.094
1246,0.055,0.094
1247,0.055,0.094
1248,0.055,0.094
1249,0.055,0.094
1250,0.055,0.095
1251,0.055,0.095
1252,0.055,0.095
1253,0.056,0.095
1254,0.056,0.095
1255,0.056,0.095
1256,0.056,0.095
1257,0.056,0.095
1258,0.055,0.095
1259,0.055,0.095
1260,0.055,0.095
1261,0.055,0.095
1262,0.055,0.095
1263,0.055,0.096
1264,0.055,0.096
1265,0.055,0.096
1266,0.055,0.096
1267,0.055,0.096
1268,0.055,0.096
1269,0.055,0.096
1270,0.055,0.096
1271,0.055,0.096
1272,0.055,0.095
1273,0.055,0.096
1274,0.055,0.096
1275,0.054,0.096
1276,0.054,0.097
1277,0.054,0.097
1278,0.054,0.097
1279,0.055,0.096
1280,0.055,0.096
1281,0.055,0.096
1282,0.055,0.096
1283,0.055,0.096
1284,0.055,0.096
1285,0.055,0.097
1286,0.055,0.097
1287,0.055,0.097
1288,0.056,0.097
1289,0.056,0.097
1290,0.056,0.097
1291,0.056,0.097
1292,0.056,0.098
1293,0.056,0.098
1294,0.056,0.098
1295,0.055,0.098
1296,0.056,0.098
1297,0.056,0.098
1298,0.056,0.097
1299,0.056,0.097
1300,0.056,0.097
1301,0.056,0.097
1302,0.057,0.097
1303,0.057,0.097
1304,0.057,0.097
1305,0.057,0.096
1306,0.057,0.096
1307,0.057,0.096
1308,0.057,0.096
1309,0.057,0.097
1310,0.057,0.097
1311,0.057,0.097
1312,0.057,0.097
1313,0.057,0.097
1314,0.057,0.096
1315,0.057,0.096
1316,0.057,0.096
1317,0.057,0.096
1318,0.057,0.096
1319,0.057,0.096
1320,0.057,0.096
1321,0.057,0.096
1322,0.056,0.096
1323,0.056,0.096
1324,0.056,0.097
1325,0.056,0.097
1326,0.055,0.097
1327,0.056,0.097
1328,0.056,0.097
1329,0.056,0.097
1330,0.056,0.097
1331,0.056,0.097
1332,0.056,0.097
1333,0.056,0.097
1334,0.056,0.097
1335,0.056,0.096
1336,0.056,0.096
1337,0.056,0.096
1338,0.056,0.096
1339,0.056,0.096
1340,0.056,0.096
1341,0.056,0.096
1342,0.056,0.096
1343,0.056,0.096
1344,0.056,0.096
1345,0.056,0.096
1346,0.056,0.096
1347,0.056,0.096
1348,0.056,0.096
1349,0.056,0.096
1350,0.056,0.096
1351,0.056,0.096
1352,0.056,0.096
1353,0.056,0.096
1354,0.056,0.097
1355,0.056,0.097
1356,0.056,0.097
1357,0.056,0.097
1358,0.056,0.097
1359,0.056,0.098
1360,0.056,0.098
1361,0.056,0.097
